accounting  | accounting  | Accounting service started
accounting  | accounting  | [CORECLR_ENABLE_PROFILING, 1]
accounting  | accounting  | [CORECLR_PROFILER, {918728DD-259F-4A6A-AC2B-B85E1B658318}]
accounting  | accounting  | [CORECLR_PROFILER_PATH, /app/OpenTelemetry.AutoInstrumentation.Native.so]
accounting  | accounting  | [DOTNET_RUNNING_IN_CONTAINER, true]
accounting  | accounting  | [DOTNET_STARTUP_HOOKS, /app/OpenTelemetry.AutoInstrumentation.StartupHook.dll]
accounting  | accounting  | [DOTNET_VERSION, 8.0.22]
accounting  | accounting  | [KAFKA_ADDR, kafka:9092]
accounting  | accounting  | [OTEL_DOTNET_AUTO_HOME, /app]
accounting  | accounting  | [OTEL_DOTNET_AUTO_RULE_ENGINE_ENABLED, false]
accounting  | accounting  | [OTEL_DOTNET_AUTO_TRACES_ADDITIONAL_SOURCES, Accounting.Consumer]
accounting  | accounting  | [OTEL_DOTNET_AUTO_TRACES_ENTITYFRAMEWORKCORE_INSTRUMENTATION_ENABLED, false]
accounting  | accounting  | [OTEL_EXPORTER_OTLP_ENDPOINT, http://otel-collector:4318]
accounting  | accounting  | [OTEL_EXPORTER_OTLP_METRICS_TEMPORALITY_PREFERENCE, cumulative]
accounting  | accounting  | [OTEL_RESOURCE_ATTRIBUTES, service.namespace=opentelemetry-demo,service.version=2.1.3]
accounting  | accounting  | [OTEL_SERVICE_NAME, accounting]
accounting  | accounting  | %3|1770440520.468|FAIL|rdkafka#consumer-1| [thrd:kafka:9092/bootstrap]: kafka:9092/bootstrap: Connect to ipv4#172.22.0.23:9092 failed: Connection refused (after 1ms in state CONNECT)
accounting  | accounting  | %3|1770440520.468|ERROR|rdkafka#consumer-1| [thrd:kafka:9092/bootstrap]: 1/1 brokers are down
accounting  | accounting  | info: Accounting.Consumer[0]
accounting  | accounting  |       Connecting to Kafka: kafka:9092
accounting  | accounting  | %3|1770440520.518|FAIL|rdkafka#consumer-1| [thrd:kafka:9092/bootstrap]: kafka:9092/bootstrap: Connect to ipv4#172.22.0.23:9092 failed: Connection refused (after 0ms in state CONNECT, 1 identical error(s) suppressed)
accounting  | accounting  | %3|1770440520.599|ERROR|rdkafka#consumer-1| [thrd:app]: rdkafka#consumer-1: kafka:9092/bootstrap: Connect to ipv4#172.22.0.23:9092 failed: Connection refused (after 1ms in state CONNECT)
accounting  | accounting  | %3|1770440520.599|ERROR|rdkafka#consumer-1| [thrd:app]: rdkafka#consumer-1: kafka:9092/bootstrap: Connect to ipv4#172.22.0.23:9092 failed: Connection refused (after 0ms in state CONNECT, 1 identical error(s) suppressed)
ad  | ad  | 2026-02-07 05:02:03 - oteldemo.AdService - Ad service started, listening on 9555 trace_id= span_id= trace_flags= 
cart  | cart  | info: cart.cartstore.ValkeyCartStore[0]
cart  | cart  |       GetCartAsync called with userId=
checkout  | checkout  | panic: runtime error: invalid memory address or nil pointer dereference [recovered]
checkout  | checkout  | 	panic: runtime error: invalid memory address or nil pointer dereference
checkout  | checkout  | [signal SIGSEGV: segmentation violation code=0x1 addr=0x58 pc=0xcc52c0]
checkout  | checkout  | 
checkout  | checkout  | goroutine 499 [running]:
