opensearch  | [2025-12-22T00:56:05,656][INFO ][o.o.j.s.JobSweeper       ] [demo-node] Running full sweep
kafka       | [2025-12-22 00:55:59,596] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002480523-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka       | [2025-12-22 00:55:59,599] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002480523-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka       | [2025-12-22 00:56:03,102] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2480529 in 5 ms. (kafka.log.LocalLog)
kafka       | [2025-12-22 00:56:03,102] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2480529 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka       | [2025-12-22 00:56:18,106] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Rolled new log segment at offset 2480559 in 5 ms. (kafka.log.LocalLog)
kafka       | [2025-12-22 00:56:18,107] INFO [ProducerStateManager partition=__cluster_metadata-0] Wrote producer snapshot at offset 2480559 with 0 producer ids in 0 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
kafka       | [2025-12-22 00:56:19,102] INFO [SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000002480562-0000000008 because we have replayed at least 2800 bytes. (org.apache.kafka.image.publisher.SnapshotGenerator)
kafka       | [2025-12-22 00:56:19,112] INFO [SnapshotEmitter id=1] Successfully wrote snapshot 00000000000002480562-0000000008 (org.apache.kafka.image.publisher.SnapshotEmitter)
kafka       | [2025-12-22 00:56:30,614] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2480406 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:56:30,614] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2480406 breach: LogSegment(baseOffset=2480349, size=2160, lastModifiedTime=1766364887575, largestRecordTimestamp=1766364887551) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:56:30,615] INFO [MetadataLog partition=__cluster_metadata-0, nodeId=1] Marking snapshot OffsetAndEpoch(offset=2480367, epoch=8) for deletion because its timestamp (1766364881549) is now (1766364990614) older than the
kafka       | retention (60000) (kafka.raft.KafkaMetadataLog)
kafka       | [2025-12-22 00:56:30,615] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Incremented log start offset to 2480445 due to snapshot generated (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:56:30,617] INFO [LocalLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segment files LogSegment(baseOffset=2480229, size=2160, lastModifiedTime=1766364827560, largestRecordTimestamp=1766364827535),LogSegment(baseOffset=2480259, size=2160, lastModifiedTime=1766364842562, largestRecordTimestamp=1766364842538) (kafka.log.LocalLog$)
kafka       | [2025-12-22 00:56:30,617] INFO [UnifiedLog partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Deleting segments due to log start offset 2480445 breach: LogSegment(baseOffset=2480379, size=2160, lastModifiedTime=1766364902579, largestRecordTimestamp=1766364902554),LogSegment(baseOffset=2480409, size=2160, lastModifiedTime=1766364917583, largestRecordTimestamp=1766364917559) (kafka.log.UnifiedLog)
kafka       | [2025-12-22 00:56:30,617] INFO Deleted log /tmp/kafka-logs/__cluster_metadata-0/00000000000002480229.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka       | [2025-12-22 00:56:30,617] INFO Deleted offset index /tmp/kafka-logs/__cluster_metadata-0/00000000000002480229.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
