id,label,flag,variant,root_cause,is_baseline,in_training,trace_count,trace_total_spans,trace_http_5xx_spans,trace_unique_services,trace_unique_span_names,log_error_count,log_total_lines,log_error_ratio,frontend_error_count,checkout_error_count,recommendation_error_count,product_catalog_error_count,payment_error_count,metrics_series_len,req_rate_sum
eval01_adFailure_on,eval01_adFailure_on,adFailure,on,adFailure,False,False,76,76,0,0,33,14715,80450,0.1829086389061529,2637,8,0,2,0,2,0.31666666666666665
eval01_baseline,eval01_baseline,baseline,off,none,True,False,66,66,0,0,37,26,2482,0.010475423045930701,0,6,0,1,0,0,0.0
eval02_adFailure_on,eval02_adFailure_on,adFailure,on,adFailure,False,False,78,78,0,0,35,14619,78553,0.18610364976512672,2637,8,0,2,30,2,0.3041653993108362
eval02_baseline,eval02_baseline,baseline,off,none,True,False,122,122,3,0,63,11030,58932,0.18716486798343854,4,2,0,2,1,2,0.05174666666666667
eval03_adFailure_on,eval03_adFailure_on,adFailure,on,adFailure,False,False,212,212,1,0,69,12714,53448,0.2378760664571172,2,8,824,2,1,2,0.2833333333333333
eval03_baseline,eval03_baseline,baseline,off,none,True,False,146,146,0,0,50,13871,97036,0.14294694752463002,2633,8,0,2,2,2,0.21184381236970304
eval04_adFailure_on,eval04_adFailure_on,adFailure,on,adFailure,False,False,94,94,0,0,31,15174,110416,0.13742573540066658,2637,8,0,2,31,2,0.32916666666666666
eval04_baseline,eval04_baseline,baseline,off,none,True,False,89,89,0,0,33,13880,98505,0.14090655296685448,2633,8,0,2,4,2,0.2977981805598958
eval05_adFailure_on,eval05_adFailure_on,adFailure,on,adFailure,False,False,142,142,4,0,57,11231,78741,0.14263217383573995,2,8,0,2,1,2,0.35416814236725985
eval05_baseline,eval05_baseline,baseline,off,none,True,False,191,191,4,0,59,11915,58781,0.20270155322298022,2,8,0,2,1,2,0.2916666666666667
eval06_adFailure_on,eval06_adFailure_on,adFailure,on,adFailure,False,False,221,221,0,0,75,14388,58698,0.24511908412552386,2638,8,0,2,0,2,0.39166666666666666
eval06_baseline,eval06_baseline,baseline,off,none,True,False,98,98,0,0,42,13371,48791,0.2740464429915353,2633,8,0,2,0,2,0.3747492777777778
eval07_adFailure_on,eval07_adFailure_on,adFailure,on,adFailure,False,False,71,71,0,0,25,14388,58716,0.24504394032291027,2638,8,0,2,0,2,0.43333333333333335
eval07_baseline,eval07_baseline,baseline,off,none,True,False,97,97,0,0,30,14932,112086,0.13321913530681798,2633,8,0,2,6,2,0.3338685185185185
eval08_adFailure_on,eval08_adFailure_on,adFailure,on,adFailure,False,False,111,111,0,0,30,15653,111436,0.14046627660720054,2638,8,0,2,34,2,0.37916666666666665
eval08_baseline,eval08_baseline,baseline,off,none,True,False,152,152,0,0,71,13361,42200,0.3166113744075829,2633,8,0,2,0,2,0.27085192592592594
eval09_adHighCpu_on,eval09_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,93,93,0,0,34,15018,108605,0.13828092629252797,2638,8,0,2,35,2,0.3041653993108362
eval09_baseline,eval09_baseline,baseline,off,none,True,False,160,160,0,0,47,13255,97245,0.13630520849400998,2633,8,0,2,6,2,0.31666666666666665
eval100_llmInaccurateResponse_on,eval100_llmInaccurateResponse_on,llmInaccurateResponse,on,llmInaccurateResponse,False,False,168,168,0,0,40,12064,78907,0.15288884382881113,2,8,812,2,1,2,0.3833333333333333
eval101_llmInaccurateResponse_on,eval101_llmInaccurateResponse_on,llmInaccurateResponse,on,llmInaccurateResponse,False,False,96,96,0,0,41,11995,80681,0.14867193019422167,2,8,0,2,1,2,0.3916666666666667
eval102_llmInaccurateResponse_on,eval102_llmInaccurateResponse_on,llmInaccurateResponse,on,llmInaccurateResponse,False,False,101,101,0,0,38,15064,101467,0.1484620615569594,2647,8,0,2,62,2,0.3875
