id,label,flag,variant,root_cause,is_baseline,in_training,trace_count,trace_total_spans,trace_http_5xx_spans,trace_unique_services,trace_unique_span_names,log_error_count,log_total_lines,log_error_ratio,frontend_error_count,checkout_error_count,recommendation_error_count,product_catalog_error_count,payment_error_count,metrics_series_len,req_rate_sum
eval01_adFailure_on,eval01_adFailure_on,adFailure,on,adFailure,False,False,76,76,0,0,33,17994,80450,0.22366687383467992,2866,13,0,2,0,2,0.31666666666666665
eval01_baseline,eval01_baseline,baseline,off,none,True,False,66,66,0,0,37,79,2482,0.031829170024174055,6,10,0,1,0,0,0.0
eval02_adFailure_on,eval02_adFailure_on,adFailure,on,adFailure,False,False,78,78,0,0,35,18042,78553,0.22967932478708641,2866,13,0,2,153,2,0.3041653993108362
eval02_baseline,eval02_baseline,baseline,off,none,True,False,122,122,3,0,63,14348,58932,0.24346704676576394,161,3,1,2,5,2,0.05174666666666667
eval03_adFailure_on,eval03_adFailure_on,adFailure,on,adFailure,False,False,212,212,1,0,69,15191,53448,0.28422017662026644,159,13,1096,2,5,2,0.2833333333333333
eval03_baseline,eval03_baseline,baseline,off,none,True,False,146,146,0,0,50,17311,97036,0.1783977080671091,2863,13,1,2,14,2,0.21184381236970304
eval04_adFailure_on,eval04_adFailure_on,adFailure,on,adFailure,False,False,94,94,0,0,31,18841,110416,0.17063650195623822,2866,13,0,2,158,2,0.32916666666666666
eval04_baseline,eval04_baseline,baseline,off,none,True,False,89,89,0,0,33,17320,98505,0.17582863814019592,2863,13,1,2,24,2,0.2977981805598958
eval05_adFailure_on,eval05_adFailure_on,adFailure,on,adFailure,False,False,142,142,4,0,57,15233,78741,0.1934570300097789,159,13,0,2,5,2,0.35416814236725985
eval05_baseline,eval05_baseline,baseline,off,none,True,False,191,191,4,0,59,15876,58781,0.27008727309845015,159,13,0,2,5,2,0.2916666666666667
eval06_adFailure_on,eval06_adFailure_on,adFailure,on,adFailure,False,False,221,221,0,0,75,17666,58698,0.3009642577259873,2867,13,0,2,0,2,0.39166666666666666
eval06_baseline,eval06_baseline,baseline,off,none,True,False,98,98,0,0,42,15996,48791,0.32784734889631284,2863,13,0,2,0,2,0.3747492777777778
eval07_adFailure_on,eval07_adFailure_on,adFailure,on,adFailure,False,False,71,71,0,0,25,17666,58716,0.3008719940050412,2867,13,0,2,0,2,0.43333333333333335
eval07_baseline,eval07_baseline,baseline,off,none,True,False,97,97,0,0,30,17893,112086,0.15963635065931517,2863,13,2,2,34,2,0.3338685185185185
eval08_adFailure_on,eval08_adFailure_on,adFailure,on,adFailure,False,False,111,111,0,0,30,19764,111436,0.1773574069421013,2867,13,0,2,173,2,0.37916666666666665
eval08_baseline,eval08_baseline,baseline,off,none,True,False,152,152,0,0,71,14976,42200,0.35488151658767775,2706,13,1,2,0,2,0.27085192592592594
eval09_adHighCpu_on,eval09_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,93,93,0,0,34,19135,108605,0.17618894157727544,2867,13,0,2,178,2,0.3041653993108362
eval09_baseline,eval09_baseline,baseline,off,none,True,False,160,160,0,0,47,16235,97245,0.16694945755565838,2863,13,0,2,34,2,0.31666666666666665
eval100_llmInaccurateResponse_on,eval100_llmInaccurateResponse_on,llmInaccurateResponse,on,llmInaccurateResponse,False,False,168,168,0,0,40,15473,78907,0.19609160150556984,159,13,1089,2,5,2,0.3833333333333333
eval101_llmInaccurateResponse_on,eval101_llmInaccurateResponse_on,llmInaccurateResponse,on,llmInaccurateResponse,False,False,96,96,0,0,41,16001,80681,0.19832426469676875,159,13,0,2,5,2,0.3916666666666667
eval102_llmInaccurateResponse_on,eval102_llmInaccurateResponse_on,llmInaccurateResponse,on,llmInaccurateResponse,False,False,101,101,0,0,38,18369,101467,0.18103422787704376,2872,13,1,2,313,2,0.3875
eval103_llmInaccurateResponse_on,eval103_llmInaccurateResponse_on,llmInaccurateResponse,on,llmInaccurateResponse,False,False,212,212,0,0,65,13315,40831,0.32610026695403005,159,13,0,2,5,2,0.35833333333333334
eval104_llmInaccurateResponse_on,eval104_llmInaccurateResponse_on,llmInaccurateResponse,on,llmInaccurateResponse,False,False,89,89,0,0,39,14383,68764,0.2091646791926008,159,13,1,2,5,2,0.37083333333333335
eval105_llmRateLimitError_on,eval105_llmRateLimitError_on,llmRateLimitError,on,llmRateLimitError,False,False,166,166,4,0,56,14057,41674,0.33730863368047226,159,13,0,2,5,2,0.3875
eval106_llmRateLimitError_on,eval106_llmRateLimitError_on,llmRateLimitError,on,llmRateLimitError,False,False,63,63,0,0,26,19975,98715,0.2023502000709112,2872,13,1091,2,302,2,0.3541666666666667
eval107_llmRateLimitError_on,eval107_llmRateLimitError_on,llmRateLimitError,on,llmRateLimitError,False,False,117,117,4,0,49,17525,88779,0.1974002861036957,159,13,0,2,5,2,0.37916666666666665
eval108_llmRateLimitError_on,eval108_llmRateLimitError_on,llmRateLimitError,on,llmRateLimitError,False,False,89,89,0,0,33,20769,118666,0.17502064618340551,2872,13,0,2,312,2,0.3333333333333333
eval109_llmRateLimitError_on,eval109_llmRateLimitError_on,llmRateLimitError,on,llmRateLimitError,False,False,109,109,0,0,34,15990,78905,0.2026487548317597,159,13,0,2,5,2,0.3
eval10_adHighCpu_on,eval10_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,78,78,0,0,34,17485,100362,0.17421932603973617,2867,13,1,2,178,2,0.33333194445023145
eval10_baseline,eval10_baseline,baseline,off,none,True,False,123,123,4,0,49,14377,68730,0.20918085261166885,159,13,0,2,5,2,0.3125
eval110_llmRateLimitError_on,eval110_llmRateLimitError_on,llmRateLimitError,on,llmRateLimitError,False,False,101,101,0,0,35,19898,111477,0.1784942185383532,2872,13,0,2,317,2,0.2916666666666667
eval111_llmRateLimitError_on,eval111_llmRateLimitError_on,llmRateLimitError,on,llmRateLimitError,False,False,75,75,0,0,40,16024,48805,0.3283270156746235,2872,13,0,2,0,2,0.3
eval112_llmRateLimitError_on,eval112_llmRateLimitError_on,llmRateLimitError,on,llmRateLimitError,False,False,111,111,0,0,44,16002,78845,0.20295516519753948,159,13,0,2,5,2,0.31666666666666665
eval113_loadGeneratorFloodHomepage_on,eval113_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,77,77,0,0,29,18360,111427,0.16477155447063996,2872,13,0,2,312,2,0.3416652430614873
eval114_loadGeneratorFloodHomepage_on,eval114_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,76,76,0,0,26,19232,110589,0.17390518044290118,2872,13,0,2,312,2,0.3041653993108362
eval115_loadGeneratorFloodHomepage_on,eval115_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,106,106,0,0,40,16024,48998,0.32703375647985633,2872,13,0,2,0,2,0.35833482639510994
eval116_loadGeneratorFloodHomepage_on,eval116_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,79,79,0,0,32,19226,110602,0.17383049131118786,2872,13,0,2,307,2,0.31666666666666665
eval117_loadGeneratorFloodHomepage_on,eval117_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,173,173,4,0,37,15336,50642,0.3028316417203112,159,13,0,2,6,2,0.31666666666666665
eval118_loadGeneratorFloodHomepage_on,eval118_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,121,121,0,0,65,14921,48793,0.3058020617711557,159,13,0,2,0,2,0.39166666666666666
eval119_loadGeneratorFloodHomepage_on,eval119_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,168,168,0,0,66,16761,51587,0.32490743792040633,2872,13,0,2,5,2,0.43333333333333335
eval11_adHighCpu_on,eval11_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,92,92,0,0,34,18264,101325,0.18025166543301258,2867,13,0,2,178,2,0.3125
eval11_baseline,eval11_baseline,baseline,off,none,True,False,1191,1191,16,0,43,14583,78226,0.18642139442129216,163,10,10,1,4,2,0.38333173611776616
eval120_loadGeneratorFloodHomepage_on,eval120_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,167,167,4,0,53,14383,68788,0.20909170204105368,159,13,0,2,5,2,0.4541647743134404
eval121_paymentFailure_10%,eval121_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,120,120,4,0,56,14378,68646,0.2094513882819101,159,13,0,2,5,2,0.3249986458389757
eval122_paymentFailure_10%,eval122_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,74,74,0,0,31,19066,108472,0.17576886201047276,2863,13,0,2,73,2,0.3166653472277199
eval123_paymentFailure_10%,eval123_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,167,167,4,0,42,13319,43190,0.3083815698078259,159,13,0,2,5,2,0.3166653472277199
eval124_paymentFailure_10%,eval124_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,57,57,0,0,23,20618,126798,0.1626050884083345,2863,13,0,2,78,2,0.3458304514129049
eval125_paymentFailure_10%,eval125_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,51,51,0,0,19,18247,108624,0.1679831344822507,2863,13,0,2,78,2,0.312498697922092
eval126_paymentFailure_10%,eval126_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,141,141,0,0,59,14882,40685,0.3657859161853263,2863,13,1,2,0,2,0.312498697922092
eval127_paymentFailure_10%,eval127_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,73,73,4,0,33,16604,78690,0.21100521031897318,159,13,0,2,5,2,0.2916666666666667
eval128_paymentFailure_10%,eval128_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,74,74,0,0,28,18203,103085,0.176582431973614,2863,13,0,2,83,2,0.3125
eval129_paymentFailure_10%,eval129_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1324,1324,11,0,59,15197,88393,0.17192537870645866,157,10,0,1,4,2,0.42916666666666664
eval12_adHighCpu_on,eval12_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,102,102,0,0,36,17525,90444,0.19376630843394807,159,13,0,2,5,2,0.325
eval12_baseline,eval12_baseline,baseline,off,none,True,False,2209,2209,7,0,66,14352,68319,0.21007333245510035,157,10,5,1,4,2,0.3291652951446036
eval130_paymentFailure_10%,eval130_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2074,2074,12,0,59,14358,78339,0.18328035844215526,157,10,0,1,4,2,0.4625
eval131_paymentFailure_10%,eval131_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1228,1228,12,0,54,16328,98310,0.16608686807038958,159,10,5,1,4,2,0.3999983333402778
eval132_paymentFailure_10%,eval132_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,3147,3147,4,0,37,17646,98352,0.1794167886774036,154,10,0,1,4,2,0.35416519097837096
eval133_paymentFailure_10%,eval133_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2215,2215,12,0,49,14382,78502,0.18320552342615476,161,10,16,1,4,2,0.325
eval134_paymentFailure_10%,eval134_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,864,864,36,0,61,14378,78429,0.18332504558262888,173,10,10,1,4,2,0.39166666666666666
eval135_paymentFailure_10%,eval135_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1285,1285,36,0,66,14394,78521,0.18331401790603788,177,10,15,1,4,2,0.5041645659809751
eval136_paymentFailure_10%,eval136_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1716,1716,5,0,40,13259,70256,0.18872409473923935,161,10,10,1,4,2,0.5416644097316261
eval137_paymentFailure_10%,eval137_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2238,2238,15,0,50,15438,87136,0.17717131839882483,157,10,1085,1,4,2,0.3625
eval138_paymentFailure_10%,eval138_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2643,2643,4,0,39,16309,99977,0.16312751932944577,155,10,0,1,4,2,0.31666666666666665
eval139_paymentFailure_10%,eval139_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2236,2236,8,0,50,17162,98360,0.1744814965433103,155,10,1084,1,4,2,0.30416539931083625
eval13_adHighCpu_on,eval13_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,152,152,8,0,48,14392,68733,0.20938995824422038,161,13,0,2,10,2,0.3416666666666667
eval13_baseline,eval13_baseline,baseline,off,none,True,False,1742,1742,25,0,69,14384,68369,0.21038774883353567,169,10,10,1,4,2,0.37083178820088253
eval140_paymentFailure_10%,eval140_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1869,1869,4,0,40,17162,108266,0.15851698594203167,153,10,0,1,4,2,0.312498697922092
eval141_paymentFailure_10%,eval141_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,326,326,12,0,46,17674,98410,0.17959556955593944,163,10,10,1,4,2,0.35
eval142_paymentFailure_10%,eval142_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,2297,2297,19,0,66,14366,79982,0.1796154134680303,163,10,5,1,4,2,0.37083333333333335
eval143_paymentFailure_10%,eval143_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1255,1255,20,0,52,14380,80069,0.17959509922691677,163,10,0,1,4,2,0.42916666666666664
eval144_paymentFailure_10%,eval144_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1362,1362,28,0,52,16114,88458,0.18216554749146488,167,10,5,1,4,2,0.39166666666666666
eval145_paymentFailure_10%,eval145_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1703,1703,13,0,59,13254,70255,0.18865561170023487,165,10,6,1,4,2,0.375
eval146_paymentFailure_10%,eval146_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1162,1162,8,0,40,16328,98361,0.16600075233070016,156,10,2,1,4,2,0.37083333333333335
eval147_paymentFailure_10%,eval147_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,1225,1225,4,0,53,14357,68322,0.210137291062908,153,10,5,1,4,2,0.3458333333333333
