id,label,flag,variant,root_cause,is_baseline,in_training,trace_count,trace_total_spans,trace_http_5xx_spans,trace_unique_services,trace_unique_span_names,log_error_count,log_total_lines,log_error_ratio,frontend_error_count,checkout_error_count,recommendation_error_count,product_catalog_error_count,payment_error_count,metrics_series_len,req_rate_sum
eval00_baseline,eval00_baseline,cartFailure,off,none,True,False,296,296,30,0,61,0,0,0.0,0,0,0,0,0,2,0.35833184028399884
eval01_baseline,eval01_baseline,cartFailure,off,none,True,False,16,16,0,0,4,8,149,0.053691275167785234,0,0,0,0,0,0,0.0
eval01_cartFailure_on,eval01_cartFailure_on,cartFailure,on,cartFailure,False,False,286,286,12,0,82,6,406,0.014778325123152709,4,0,0,0,0,2,0.3875
eval01_llmRateLimitError_on,eval01_llmRateLimitError_on,llmRateLimitError,on,llmRateLimitError,False,False,22,22,0,0,8,0,128,0.0,0,0,0,0,0,0,0.0
eval02_baseline,eval02_baseline,cartFailure,off,none,True,False,18,18,0,0,5,8,155,0.05161290322580645,0,0,0,0,0,0,0.0
eval02_paymentFailure_10%,eval02_paymentFailure_10%,paymentFailure,10%,paymentFailure,False,False,32,32,0,0,10,0,141,0.0,0,0,0,0,0,0,0.0
eval03_baseline,eval03_baseline,cartFailure,off,none,True,False,16,16,0,0,4,8,123,0.06504065040650407,0,0,0,0,0,0,0.0
eval03_paymentFailure_50%,eval03_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,215,215,6,0,53,4,296,0.013513513513513514,4,0,0,0,0,2,0.3500014583394097
eval03_paymentFailure_90%,eval03_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,22,22,0,0,8,0,134,0.0,0,0,0,0,0,0,0.0
eval04_baseline,eval04_baseline,cartFailure,off,none,True,False,16,16,0,0,4,9,130,0.06923076923076923,0,0,0,0,0,0,0.0
eval04_cartFailure_on,eval04_cartFailure_on,cartFailure,on,cartFailure,False,False,22,22,0,0,8,0,162,0.0,0,0,0,0,0,0,0.0
eval04_paymentFailure_90%,eval04_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,464,464,12,0,83,5,577,0.008665511265164644,4,0,0,0,0,2,0.39999833334027785
eval05_baseline,eval05_baseline,cartFailure,off,none,True,False,16,16,0,0,4,0,166,0.0,0,0,0,0,0,0,0.0
eval05_paymentFailure_50%,eval05_paymentFailure_50%,paymentFailure,50%,paymentFailure,False,False,22,22,0,0,8,0,146,0.0,0,0,0,0,0,0,0.0
eval05_paymentUnreachable_on,eval05_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,386,386,12,0,85,8,423,0.018912529550827423,4,0,0,0,0,2,0.42082982641811323
eval06_adFailure_on,eval06_adFailure_on,adFailure,on,adFailure,False,False,21,21,0,0,8,0,140,0.0,0,0,0,0,0,0,0.0
eval06_baseline,eval06_baseline,cartFailure,off,none,True,False,16,16,0,0,4,0,127,0.0,0,0,0,0,0,0,0.0
eval07_adHighCpu_on,eval07_adHighCpu_on,adHighCpu,on,adHighCpu,False,False,377,377,21,0,57,13,346,0.03757225433526012,9,0,0,0,0,2,0.47083137153595195
eval07_baseline,eval07_baseline,cartFailure,off,none,True,False,16,16,0,0,4,0,134,0.0,0,0,0,0,0,0,0.0
eval07_cartFailure_on,eval07_cartFailure_on,cartFailure,on,cartFailure,False,False,24,24,0,0,8,2,103,0.019417475728155338,0,0,0,0,0,0,0.0
eval08_adManualGc_on,eval08_adManualGc_on,adManualGc,on,adManualGc,False,False,24,24,0,0,8,2,99,0.020202020202020204,0,0,0,0,0,0,0.0
eval08_baseline,eval08_baseline,cartFailure,off,none,True,False,16,16,0,0,4,0,163,0.0,0,0,0,0,0,0,0.0
eval09_baseline,eval09_baseline,cartFailure,off,none,True,False,16,16,0,0,4,0,216,0.0,0,0,0,0,0,0,0.0
eval09_emailMemoryLeak_100x,eval09_emailMemoryLeak_100x,emailMemoryLeak,100x,emailMemoryLeak,False,False,24,24,0,0,8,2,134,0.014925373134328358,0,0,0,0,0,0,0.0
eval09_productCatalogFailure_on,eval09_productCatalogFailure_on,productCatalogFailure,on,productCatalogFailure,False,False,261,261,0,0,53,5,417,0.011990407673860911,0,0,0,0,0,2,0.3958333333333333
eval10_baseline,eval10_baseline,cartFailure,off,none,True,False,20,20,0,0,5,0,131,0.0,0,0,0,0,0,0,0.0
eval10_paymentUnreachable_on,eval10_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,24,24,0,0,8,4,129,0.031007751937984496,0,0,0,0,0,0,0.0
eval10_recommendationCacheFailure_on,eval10_recommendationCacheFailure_on,recommendationCacheFailure,on,recommendationCacheFailure,False,False,303,303,6,0,77,27,446,0.06053811659192825,2,0,1,1,0,2,0.37916666666666665
eval11_baseline,eval11_baseline,cartFailure,off,none,True,False,151,151,0,0,6,0,311,0.0,0,0,0,0,0,0,0.0
eval11_imageSlowLoad_5sec,eval11_imageSlowLoad_5sec,imageSlowLoad,5sec,imageSlowLoad,False,False,199,199,18,0,40,6,277,0.021660649819494584,5,0,0,0,0,2,0.33333194445023145
eval11_paymentUnreachable_on,eval11_paymentUnreachable_on,paymentUnreachable,on,paymentUnreachable,False,False,21,21,0,0,8,2,98,0.02040816326530612,0,0,0,0,0,0,0.0
eval12_baseline,eval12_baseline,cartFailure,off,none,True,False,63,63,0,0,8,0,213,0.0,0,0,0,0,0,0,0.0
eval12_imageSlowLoad_10sec,eval12_imageSlowLoad_10sec,imageSlowLoad,10sec,imageSlowLoad,False,False,139,139,0,0,40,5,266,0.018796992481203006,0,0,0,0,0,2,0.3041666666666667
eval12_loadGeneratorFloodHomepage_on,eval12_loadGeneratorFloodHomepage_on,loadGeneratorFloodHomepage,on,loadGeneratorFloodHomepage,False,False,31,31,0,0,10,4,113,0.035398230088495575,0,0,0,0,0,0,0.0
eval13_baseline,eval13_baseline,cartFailure,off,none,True,False,19,19,0,0,5,0,173,0.0,0,0,0,0,0,0,0.0
eval13_emailMemoryLeak_10x,eval13_emailMemoryLeak_10x,emailMemoryLeak,10x,emailMemoryLeak,False,False,379,379,6,0,81,15,531,0.02824858757062147,2,0,0,0,0,2,0.32083333333333336
eval13_imageSlowLoad_10sec,eval13_imageSlowLoad_10sec,imageSlowLoad,10sec,imageSlowLoad,False,False,21,21,0,0,8,0,98,0.0,0,0,0,0,0,0,0.0
eval14_adFailure_on,eval14_adFailure_on,adFailure,on,adFailure,False,False,21,21,0,0,8,0,92,0.0,0,0,0,0,0,0,0.0
eval14_baseline,eval14_baseline,cartFailure,off,none,True,False,19,19,0,0,5,0,133,0.0,0,0,0,0,0,0,0.0
eval14_emailMemoryLeak_100x,eval14_emailMemoryLeak_100x,emailMemoryLeak,100x,emailMemoryLeak,False,False,511,511,24,0,77,22,519,0.04238921001926782,9,0,0,0,0,2,0.3875016145900608
eval15_baseline,eval15_baseline,cartFailure,off,none,True,False,19,19,0,0,5,0,240,0.0,0,0,0,0,0,0,0.0
eval15_kafkaQueueProblems_on,eval15_kafkaQueueProblems_on,kafkaQueueProblems,on,kafkaQueueProblems,False,False,21,21,0,0,8,0,94,0.0,0,0,0,0,0,0,0.0
eval16_baseline,eval16_baseline,cartFailure,off,none,True,False,16,16,0,0,5,0,162,0.0,0,0,0,0,0,0,0.0
eval16_llmInaccurateResponse_on,eval16_llmInaccurateResponse_on,llmInaccurateResponse,on,llmInaccurateResponse,False,False,217,217,18,0,53,20,357,0.056022408963585436,6,0,0,0,0,2,0.4124982812571614
eval16_paymentFailure_90%,eval16_paymentFailure_90%,paymentFailure,90%,paymentFailure,False,False,22,22,0,0,8,0,96,0.0,0,0,0,0,0,0,0.0
eval17_baseline,eval17_baseline,cartFailure,off,none,True,False,16,16,0,0,5,0,164,0.0,0,0,0,0,0,0,0.0
eval17_kafkaQueueProblems_on,eval17_kafkaQueueProblems_on,kafkaQueueProblems,on,kafkaQueueProblems,False,False,22,22,0,0,8,0,101,0.0,0,0,0,0,0,0,0.0
